Anemone coronaria,アネモネ
Alyssum,アリッサム
Armeniaca mume,ウメ
Catasetum,カタセタム
Cattleya,カトレア
Kalanchoe,カランコエ
Helleborus,クリスマスローズ
Clematis,クレマチス
Crocus,クロッカス
Cerasus,サクラ
Camellia sasanqua,サザンカ
Cyclamen persicum,シクラメン
Matricaria chamomilla,カモミール
Cymbidium,シンビジューム
Narcissus,スイセン
Galanthus,スノードロップ
Pelargonium,ゼラニウム
Saintpaulia,セントポーリア
Camellia japonica,ツバキ
Bellis perennis,デージー
Dendrobium,デンドロビウム
Eustoma,トルコギキョウ
Paphiopedilum,パフィオペディルム
Brassica oleracea,ハボタン
Viola,ビオラ
Hyacinthus orientalis,ヒアシンス
Adonis ramosa,フクジュソウ
Freesia,フリージア
Primula,プリムラ
Felicia,ブルーデージー
Petunia,ペチュニア
Chaenomeles speciosa,ボケ
Argyranthemum,マーガレット
Muscari,ムスカリ
Centaurea cyanus,ヤグルマギク
Ranunculus asiaticus,ラナンキュラス
Linaria,リナリア
Rosmarinus officinalis,ローズマリー
Rhodanthemum,ローダンセマム
Myosotis,ワスレナグサ
Ipomoea nil,アサガオ
Hydrangea macrophylla,アジサイ
Hippeastrum,アマリリス
Iris sanguinea,アヤメ
Allium,アリウム
Alstroemeria,アルストロメリア
Aloe,アロエ
Anthurium,アンスリウム
Ginkgo biloba,イチョウ
lberis,イベリス
Impatiens walleriana,インパチェンス
Nepenthes,ウツボカズラ
Calanthe,エビネ
Erica,エリカ
Oxalis,オキザリス
Oncidium,オンシジューム
Nymphaea,スイレン
Dianthus caryophyllus,カーネーション
Gerbera jamesonii,ガーベラ
Acer,カエデ
Ficus microcarpa,ガジュマル
Gypsophila,カスミソウ
Zantedeschia,カラー
Calendula,キンセンカ
Canna,カンナ
Campanula,カンパニュラ
Platycodon grandiflorus,キキョウ
Nerium oleander,キョウチクトウ
Antirrhinum majus,キンギョソウ
Epiphyllum,クジャクサボテン
Gardenia jasminoides,クチナシ
Gladiorus,グラジオラス
Clivia miniata,クンシラン
Coffea arabica,コーヒーノキ
Cosmos bipinnatus,コスモス
Phalaenopsis,コチョウラン
Primula sieboldii,サクラソウ
Rhododendron indicum,サツキ
Lagerstroemia indica,サルスベリ
Salvia,サルビア
Digitalis,ジギタリス
Zinnia,ジニア
Phlox subulata,シバザクラ
Rhododendron subgenus Hymenanthes,シャクナゲ
Paeonia lactiflora,シャクヤク
Senecio cineraria,シロタエギク
Lathyrus odoratus,スイートピー
Viola mandshurica,スミレ
Dahlia,ダリア
Taraxacum,タンポポ
Tulipa,チューリップ
Rhododendron,ツツジ
Delphinium,デルフィニウム
Passiflora,トケイソウ
Dianthus,ナデシコ
Catharanthus roseus,ニチニチソウ
Nerine,ネリネ
Hibiscus,ハイビスカス
Pachira glabra,パキラ
Nelumbo nucifera,ハス
Rosa,バラ
Platycerium,ビカクシダ
Helianthus annuus,ヒマワリ
Fuchsia,フクシア
Wisteria floribunda,フジ
Veronica,ベロニカ
Euphorbia pulcherrima,ポインセチア
Impatiens balsamina,ホウセンカ
Paeonia suffruticosa,ボタン
Tagetes,マリーゴールド
Magnolia liliiflora,モクレン
Kerria japonica,ヤマブキ
Lilium,ユリ
Ozothamnus diosmifolius,ライスフラワー
Lavandula,ラベンダー
Lantana,ランタナ
Lycoris,ヒガンバナ
Gentiana scabra var. buergeri,リンドウ
Lupinus,ルピナス
Plumbago auriculata,ルリマツリ